Cruise,Year,Location,Transect,Station,MOC1_Total,MOC4_Total,Notes: 
MEZCAL,2018,MaD,NH,5,1,0,
MEZCAL,2018,MaD,NH,4,0,0,
MEZCAL,2018,MaD,NH,3,0,0,
MEZCAL,2018,MaD,NH,2,0,0,
MEZCAL,2018,MaD,NH,1,3,9,
MEZCAL,2018,MbD,NH,5,0,0,
MEZCAL,2018,MbD,NH,4,0,0,
MEZCAL,2018,MbD,NH,3,1,0,
MEZCAL,2018,MbD,NH,2,7,14,
MEZCAL,2018,MbD,NH,1,312,198,
MEZCAL,2019,MaD,NH,5,0,0,
MEZCAL,2019,MaD,NH,4,5,8,
MEZCAL,2019,MaD,NH,3,9,15,
MEZCAL,2019,MaD,NH,2,17,42,
MEZCAL,2019,MaD,NH,1,19,143,
MEZCAL,2019,MbD,NH,5,0,1,
MEZCAL,2019,MbD,NH,4,8,3,
MEZCAL,2019,MbD,NH,3,8,23,
MEZCAL,2019,MbD,NH,2,163,368,
MEZCAL,2019,MbD,NH,1,55,136,
,,,,,,,
SPECTRA,2022,NA,GH,6,0,0,
SPECTRA,2022,NA,GH,5,0,0,
SPECTRA,2022,NA,GH,4,0,0,
SPECTRA,2022,NA,GH,3,0,0,
SPECTRA,2022,NA,GH,2,7,18,
SPECTRA,2022,NA,GH,1,0,2,
SPECTRA,2022,NA,CR,4,0,1,
SPECTRA,2022,NA,CR,3,0,1,
SPECTRA,2022,NA,CR,2,15,31,
SPECTRA,2022,NA,CR,1,29,10,
SPECTRA,2022,NA,CM,4,0,0,
SPECTRA,2022,NA,CM,3,2,1,
SPECTRA,2022,NA,CM,2,1,9,
SPECTRA,2022,NA,CM,1,10,4,
SPECTRA,2022,NA,NH,6,2,1,
SPECTRA,2022,NA,NH,5,1,1,
SPECTRA,2022,NA,NH,4,1,1,
SPECTRA,2022,NA,NH,3,0,0,
SPECTRA,2022,NA,NH,2,0,0,
SPECTRA,2022,NA,NH,1,5,27,
SPECTRA,2022,NA,HH,4,0,0,
SPECTRA,2022,NA,HH,3,0,0,
SPECTRA,2022,NA,HH,2,4,7,
SPECTRA,2022,NA,HH,1,12,8,
SPECTRA,2022,NA,RR,4,2,8,
SPECTRA,2022,NA,RR,3,0,2,
SPECTRA,2022,NA,RR,2,0,3,
SPECTRA,2022,NA,RR,1,0,1,
,,,,,,,
SPECTRA,2023,NA,GH,6,0,0,"MOC1N0, MOC1N4*, MOC4 N0"
SPECTRA,2023,NA,GH,5,0,0,"MOC1N0, MOC1N4*, MOC4N0; MOC4 nets not properly deployed"
SPECTRA,2023,NA,GH,4,0,0,"MOC1N0, MOC1N4*, MOC4N0; No net 1"
SPECTRA,2023,NA,GH,3,23,38,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,GH,2,31,88,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,GH,1,259,164,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,CR,4,0,0,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,CR,3,0,0,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,CR,2,7,7,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,CR,1,113,0,"MOC1N0, MOC1N4*,MOC4N0"
SPECTRA,2023,NA,NH,6,0,0,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,NH,5,0,1,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,NH,4,0,0,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,NH,3,3,0,MOC1N4*
SPECTRA,2023,NA,NH,2,3,22,MOC1N4*
SPECTRA,2023,NA,NH,1,672,376,MOC1N4*
SPECTRA,2023,NA,HH,4,0,0,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,HH,3,65,41,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,HH,2,62,315,"MOC1N0,MOC1N4*,MOC4N0"
SPECTRA,2023,NA,HH,1,114,209,"MOC1N0,MOC1N4*,MOC4N0"