Transect,Location,Station,Year,Date,Time,Start Lat,Start Lon,End Lat,End Lon
MaN,NH,1,2019,3/4/19,04:19 GMT,,,,
MaN,NH,2,2019,3/4/19,06:08 GMT,,,,
MaN,NH,3,2019,3/5/19,08:16 GMT,,,,
MaN,NH,4,2019,3/5/19,10:34 GMT,,,,
MaN,NH,5,2019,3/5/19,04:45 PDT,,,,
MaD,NH,5,2019,3/5/19,16:16 GMT,,,,
MaD,NH,4,2019,3/5/19,18:15 GMT,,,,
MaD,NH,3,2019,3/5/19,20:39 GMT,,,,
MaD,NH,2,2019,3/5/19,10:44:00 PM GMT,,,,
MaD,NH,1,2019,3/6/19,00:26 GMT,,,,
MaN,NH,1,2018,2/16/18,21:54 PST,,,,
MaN,NH,3,2018,2/17/18,02:16 PST,,,,
MaN,NH,5,2018,2/17/18,06:07 PST,,,,
MaD,NH,5,2018,2/17/18,19:09 PST,,,,
MaD,NH,3,2018,2/17/18,14:58 PST,,,,
MaD,NH,1,2018,2/17/18,19:15 PST,,,,
MbD,NH,5,2018,2/23/18,08:04 PST,,,,
MbD,NH,3,2018,2/23/18,11:34 PST,,,,
MbD,NH,2,2018,2/23/18,13:51 PST,,,,
MbD,NH,1,2018,2/23/18,14:29 PST,,,,