Vial_Label,Haul Code,Fish_number,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,1,10.89,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,2,10.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,3,10.63,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,4,11.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,5,7.49,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6,10.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7,8.75,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8,7.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9,10.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10,9.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11,9.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12,9.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14,10.43,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,15,10.99,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,16,11.09,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,17,8.27,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,18,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,19,9.59,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,20,7.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,21,10.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,22,14.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,23,7.38,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,24,9.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,25,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,26,12.84,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,27,8.47,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,28,9.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,29,6.86,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,30,8.39,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,31,8.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,32,6.94,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,33,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,34,9.37,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,35,13.88,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,36,16.21,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,37,9.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,38,9.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,39,10.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,40,8.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,41,7.68,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,42,9.05,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,43,9.64,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,44,8.21,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,45,6.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,46,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,47,6.86,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,48,7.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,49,9.57,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,50,7.8,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,51,7.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,52,8.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,53,10.25,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,54,14.58,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,55,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,56,12.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,57,9.76,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,58,9.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,59,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,60,9.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,61,12.07,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,62,11.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,63,11.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,64,7.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,65,10.03,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,66,11.91,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,67,9,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,68,8.14,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,69,7.79,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,70,15.63,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,71,8.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,72,6.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,73,8.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,74,10.07,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,75,9.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,76,11.65,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,77,11.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,78,9.92,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,79,10.79,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,80,8.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,81,9.26,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,82,11.32,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,83,10.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,84,11.5,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,85,10.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,86,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,87,8.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,88,9.36,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,89,9.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,90,10.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,91,12.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,92,10.34,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,93,10.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,94,8.99,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,95,10.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,96,9.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,97,15.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,98,14.75,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,99,13.04,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,100,12.12,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,101,10.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,102,13.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,103,16.12,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,104,12.54,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,105,14.91,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,106,NA,not English sole 
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,107,9.85,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,108,8.98,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,109,8.74,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,110,10.15,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,111,12.67,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,112,11.05,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,113,11.63,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,114,10.62,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,115,12.87,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,116,8.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,117,11.46,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,118,10.69,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,119,11.41,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,120,7.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,121,10.18,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,122,8.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,123,11.79,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,124,6.34,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,125,6.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,126,9.91,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,127,13.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,128,8.07,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,129,10.48,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,130,9.01,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,131,11.07,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,132,9.39,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,133,8.8,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,134,NA,"damaged, missing tail"
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,135,10.97,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,136,9.81,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,137,12.16,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,138,7.83,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,139,11.93,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,140,8.84,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,141,8.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,142,7.31,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,143,11.01,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,144,7.81,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,145,11.08,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,146,9.44,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,147,11.3,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,148,10.92,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,149,9.43,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,150,9.17,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,151,10.23,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,152,9.86,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,153,9.68,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,154,8.03,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,155,10.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,156,9.61,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,157,6.02,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,158,10.16,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,159,6.37,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,160,7.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,161,9.52,moderate damage
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,162,10.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,163,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,164,7.35,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,165,9.76,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,166,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,167,13.25,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,168,9.14,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,169,7.65,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,170,6.94,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,171,9.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,172,12.54,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,173,7.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,174,9.53,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,175,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,176,9.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,177,8.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,178,10.41,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,179,10.3,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,180,9.04,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,181,10.58,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,182,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,183,9.91,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,184,9.87,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,185,10.12,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,186,11.38,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,187,9.54,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,188,10.09,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,189,10.83,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,190,10.35,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,191,9.1,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,192,10.39,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,193,6.03,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,194,8.48,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,195,10.53,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,196,9.65,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,197,10.01,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,198,9.45,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,199,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,200,8.45,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,201,8.29,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,202,NA,only tail section
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,203,9.82,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,204,10.65,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,205,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,206,9.26,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,207,9.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,208,13.93,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,209,9.23,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,210,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,211,11.48,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,212,9.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,213,8.56,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,214,11.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,215,9.53,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,216,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,217,9.52,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,218,11.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,219,9.68,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,220,9.17,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,221,10.92,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,222,9.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,223,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,224,9.54,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,225,10.07,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,226,10.19,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,227,10.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,228,8.29,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,229,8,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,230,7.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,231,7.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,232,10.13,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,233,9.08,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,234,11.05,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,235,10.02,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,236,10.43,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,237,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,238,9.08,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,239,11.68,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,240,11.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,241,7.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,242,8.71,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,243,8.91,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,244,9.7,post-flexion
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,1,10.32,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,2,11.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,3,9.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,4,8.64,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,5,8.93,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,6,9.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,7,8.58,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8,9.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9,8.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,10,8.67,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,11,8.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,12,8.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,13,7.74,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,14,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,15,9.19,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,16,7.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,17,9.28,
